name,lon,lat,tipo_geometria,pais,fecha_descarga
Damasol,-0.4865989,38.3490958,Point,España,2026-03-04 13:06:55.752367
Telepizza,-0.4715768,38.3669443,Point,España,2026-03-04 13:06:55.752367
Bodega Adolfo,-0.5022593,38.3408667,Point,España,2026-03-04 13:06:55.752367
Mesón Los Curros,-0.4713395,38.4066364,Point,España,2026-03-04 13:06:55.752367
La terreta gastrobar,-0.488167,38.3476711,Point,España,2026-03-04 13:06:55.752367
Tapas Quo Vadis,-0.4816448,38.3456968,Point,España,2026-03-04 13:06:55.752367
Cervecería Monte Tossal,-0.4908174,38.3530351,Point,España,2026-03-04 13:06:55.752367
Domino's,-0.4850145,38.3595135,Point,España,2026-03-04 13:06:55.752367
Corneta,-0.4875501,38.3625079,Point,España,2026-03-04 13:06:55.752367
Tapas en Tablas,-0.4845171,38.3449654,Point,España,2026-03-04 13:06:55.752367
Delta Gourmet,-0.4930707,38.3449737,Point,España,2026-03-04 13:06:55.752367
Boff,-0.4799296,38.3401266,Point,España,2026-03-04 13:06:55.752367
Bora,-0.4861769,38.3449724,Point,España,2026-03-04 13:06:55.752367
Doña Aña,-0.5082786,38.337558,Point,España,2026-03-04 13:06:55.752367
Italia en Miniatura,-0.5081606,38.3365482,Point,España,2026-03-04 13:06:55.752367
La Mafia se sienta a la mesa,-0.4338089,38.3714389,Point,España,2026-03-04 13:06:55.752367
Wok sushi,-0.4426347,38.3691369,Point,España,2026-03-04 13:06:55.752367
Momen,-0.4853231,38.3426288,Point,España,2026-03-04 13:06:55.752367
Damasol,-0.4868474,38.3490066,Point,España,2026-03-04 13:06:55.752367
Dos Hermanos,-0.4868012,38.3488225,Point,España,2026-03-04 13:06:55.752367
La barra de César Anca,-0.48502,38.3429488,Point,España,2026-03-04 13:06:55.752367
La taberna del Gourmet,-0.4815939,38.3443998,Point,España,2026-03-04 13:06:55.752367
Tribeca,-0.4823515,38.3441224,Point,España,2026-03-04 13:06:55.752367
El Portal,-0.4836745,38.3439728,Point,España,2026-03-04 13:06:55.752367
American Humo y Fuego,-0.4871363,38.3450702,Point,España,2026-03-04 13:06:55.752367
Casa de comidas Juana Romero,-0.4862453,38.3448062,Point,España,2026-03-04 13:06:55.752367
Restaurante Pizzería Tito's,-0.4739922,38.3623774,Point,España,2026-03-04 13:06:55.752367
Bella Napoli,-0.4792122,38.3588894,Point,España,2026-03-04 13:06:55.752367
Cervecería El Chiriguandi,-0.4755977,38.3609291,Point,España,2026-03-04 13:06:55.752367
Aloha Tiki Bar & Restaurante,-0.483205,38.3469392,Point,España,2026-03-04 13:06:55.752367
Pizzería Provenzal,-0.5206595,38.2828414,Point,España,2026-03-04 13:06:55.752367
El Capricho de Raquel,-0.520942,38.2828191,Point,España,2026-03-04 13:06:55.752367
El Gamba,-0.5205253,38.2803653,Point,España,2026-03-04 13:06:55.752367
Nou Vora Mar,-0.5206764,38.2829541,Point,España,2026-03-04 13:06:55.752367
La Tartana,-0.52084,38.2851393,Point,España,2026-03-04 13:06:55.752367
Guillermo,-0.4864709,38.3503557,Point,España,2026-03-04 13:06:55.752367
Lo Nuestro,-0.4863285,38.3503541,Point,España,2026-03-04 13:06:55.752367
Templo,-0.4872412,38.345047,Point,España,2026-03-04 13:06:55.752367
Casa Mia Italia,-0.487186,38.350927,Point,España,2026-03-04 13:06:55.752367
